,heure_sin,heure_cos,jour_sin,jour_cos,semaine_cos,semaine_sin,mois_sin,mois_cos,is_weekend,is_jour_ferie,is_vacances_scolaires,is_greve,is_covid,temp,precip_mm,wind_kmh,weather_code,nb_events,rang_station,lag_1h,lag_24h,lag_7j
0,0.00812466467055732,0.004861225556910702,0.0053435353343743875,-0.0068609569677996985,-0.007227929132602773,-0.00015308191706498066,0.00511655727689548,0.009653589554533996,0.002156467234834825,0.002250755938859804,-0.03646684379050691,0.00569193566171726,0.0018075427251224995,0.0007439378446246944,0.00012507424919548603,-3.6248115886830706e-05,-0.0008863530353325021,0.0001937013674030662,0.00100713177257228,0.38289899233679053,0.01601682265662015,0.006149204990216961
1,0.12314534944732154,-0.012685299550050261,0.005803467331551972,-0.013262112529719353,0.0037287380528550056,0.025448901409561783,0.0413841878318986,-0.0021464053433813573,-0.006448312137840421,0.002335500795965671,0.0058635601537686015,0.0011639333344796179,0.0017099277647114948,-0.0032756481914368307,-0.0001647277182478403,0.00022980112244686937,6.866528561703563e-05,0.007575387770143288,0.07678456119587523,2.3112956162336005,0.3646740467103302,-0.023867503809630358
2,-0.028725974277153895,-0.023562629244172864,0.01274433849260769,-0.004966230316178073,0.002932177089969711,0.006862229238419499,0.004953886343707403,0.0036488827815224774,0.004320925234814671,0.002220851249225506,0.012364751367804447,0.007168538470827358,0.001830389779473627,0.001434828274450802,0.00011756425467481047,0.0005146104342809289,0.001400632949672981,0.002250706283478772,0.00639034609470815,0.6009794658394019,0.030135685906406914,0.12573352078987943
3,0.0014385045206195604,0.0060741456624120995,0.009462803442803511,-0.005971558334688806,0.003977973984549059,-0.008127184371561036,0.0015242415070895136,0.004209646055068984,0.0032929439025479955,0.001945384863639088,0.009960614845474365,0.006207722102403745,0.0017769167894099705,-5.229811799037148e-05,9.786176695495749e-05,0.0002589741482034628,0.0009953319207599905,-0.00023084508532083387,0.00104832414960606,0.5567001147227802,0.03977367972406777,0.03626819786875974
4,-0.006689610937820221,-0.002842840352315277,0.0070400145625041585,-0.007494117986570307,0.004314759819491977,-0.005316408002455983,0.0015649149935868393,-7.537397600359649e-05,0.004486802822459454,0.002299190253408219,0.012457277641683024,0.006333420112400265,0.0018332869454339002,0.0001220760038499943,0.00011778219542877508,0.0008128975369170823,-0.0007676341734556112,0.002753608113032327,3.761494377232878e-05,0.4847129819063613,0.027110142568390855,0.02776155927451799
5,-0.0048912211310392075,-0.00422557009678391,0.00710824439034534,-0.0077747806128265155,0.00468430950083592,-0.0040915076612244965,0.0021235604148259744,0.000140353282230581,0.004773181815728726,0.002237322344117236,0.012494110302856945,0.006253863913551544,0.0018205807327940178,0.0007430385690774564,4.8767975122357294e-05,-5.2596192295341545e-05,-0.0006885995747501797,-0.0006853276804350861,2.0755443577614202e-05,0.41606114633685404,0.02832910981290129,0.026194095915242892
6,-0.0025461871776729507,-0.0005739170075055701,0.003965652831661766,-0.005968710068653443,0.006124767858752867,-0.006293195450255573,0.0010608488216696682,8.364324798229864e-06,0.0020422604039166395,0.0020261696592784417,-0.02895761141413849,0.005998052173483195,0.0019581543524661692,0.0009090994367544147,0.00013545566698599607,0.00016686965544565797,-0.0005869273250645374,-0.00017567048466632167,0.0009157341091925718,0.07566407567078501,0.017718539613712767,0.02617338345020827
7,-0.00209570087473017,-0.0002457146947948396,0.0021199393401761238,-0.00535073054352619,0.003587247071700047,-0.00477014056949181,0.0018285563439745273,0.0003848680269315951,0.0005931355705298402,0.0021175271153870074,-0.019613605317071955,0.006694492306408814,0.0027572855730583295,0.0015541321903795307,0.00016691526315639062,0.00015438253541273585,-0.000759500701443482,-0.0006269340299791676,0.0004742537563840749,-0.04399721551645913,-0.026303139638643887,0.0012846054746885529
8,0.00825760811054208,0.008801330867238139,0.006180843126855924,-0.009771306524167609,0.002283489885493767,-0.005027784110692177,0.00043330505557838465,8.739439882355976e-05,0.004380568273538378,0.0020837604880174477,0.01042229943820027,0.006156784752622338,0.0024697506853169154,0.0007423642471360099,4.042056387590119e-05,-0.00022108003666394794,-0.0004662071144606701,-0.0014183977962447922,0.00028289725859119614,0.5685074594094424,0.03164708749475527,-0.023294020786566016
9,0.007705671363400356,0.0010210496964582932,0.00873523852965718,-0.0056543922851637705,0.0036921058336549526,-0.0024162809565516728,0.00129229737058644,0.00038459075191142204,0.004051530251296062,0.0019155562950896052,0.008859852833998821,0.006261846612791884,0.0022623973627785266,0.0009910595002578413,7.980263256081366e-05,0.0001015242634032645,-0.00035421079957106543,0.0025935424420435883,0.003204530515659787,0.9045513887016083,0.06986342709836565,0.018615027253576444
10,-0.010677545706891925,-0.00780330209477761,0.009566696029676941,-0.003522933915912224,0.004118481084119873,-0.0030943390606735324,0.0011534608834570992,0.00038377831553817473,0.0061494679698020195,0.0018185387096948695,0.011112223673336192,0.006208336687820331,0.002313160387173513,0.00014713724015023163,4.9141152437328964e-05,4.630160413664465e-05,-0.0005755676991264686,0.0012808363954856731,0.00039784152578174444,0.5103855769821463,0.06080926565087851,0.07625720295093856
11,0.0075782933630600255,-0.002708801078452,0.006970768425907348,-0.006131123398496598,0.002897935705141031,-0.004693646822068739,0.0011029023316447184,-0.0002606145438740082,0.003293425082141606,0.001830862291247049,0.00860404578861796,0.005930313573308361,0.0023350527789167946,-0.0002926937402028078,0.00010636582593410158,4.826554176931527e-05,0.0011269025847099436,0.0025418357721173185,0.000829500742104681,0.7341342550141637,0.06266108062618575,0.011445341062454312
