station,mae,rmse,n
CHILLY MAZ T12,0.14847361241305046,0.22095610052111295,1304.0
Saint-Nom-la-Bret̬che For̻t de Marly T13,0.1568419749241027,0.29627794532874957,13733.0
LONGJUMEAU T12,0.16176772344041887,0.23375872364278083,1447.0
ROSNY-BOIS-PERRIER,0.1701603746960276,0.2859460187260459,14806.0
LA DHUYS,0.1957222361203004,0.2967101333463514,11756.0
HOP. BICETRE,0.20735263941664164,0.3399251630091932,11804.0
NANTERRE LA FOLIE RER E,0.20816180025193476,0.35971098860424844,10536.0
EPINAY SO T12,0.21003984315775553,0.34506145849471875,13572.0
ROMAINV.CARNOT,0.21295267102601836,0.35243501781740144,12237.0
CHEVILLY-LARUE,0.215293644552372,0.3541648409518635,11558.0
S. GAINSBOURG,0.22015104537136684,0.3462355314414308,11794.0
MASSY PAL T12,0.22136985450436344,0.40718669861330326,13960.0
BARBARA,0.2238157261788001,0.41560114338161824,14884.0
ROSNY BOIS.P,0.22593949066371843,0.3569641987697391,12246.0
LUCIE AUBRAC,0.23113398155356696,0.42254462938645687,15388.0
GUY MOQUET,0.2328727802689313,0.43522304702966946,14884.0
DEFENSE RER E,0.23808944907766233,0.372881797746436,4325.0
MARCADET-POISSONNIERS,0.2415474151005848,0.45845937971271683,15388.0
L'HAY-LES-ROSE,0.24160476352730476,0.42282187310338115,12174.0
Villejuif Gustave Ro,0.2430572971469356,0.3937607129940384,6136.0
MONTREUIL HOP.,0.24314623120819887,0.4066260585081249,12159.0
THIAIS-ORLY,0.24329633614220572,0.4065023705284103,12104.0
EVRY COUR T12,0.24824788842608897,0.4131972066800072,13797.0
AMEDEE CORDINI T12,0.2508127680084861,0.3948343159813388,13034.0
BROCHANT,0.2525740740416974,0.43698669813569385,14842.0
LA DEFENSE-GRANDE ARCHE,0.25343345749216173,0.4951367202269921,16178.0
PORTE MAILLOT RER E,0.2539558177835363,0.46212940803399444,12462.0
CRIMEE,0.25418838296736046,0.46984245209829834,14757.0
ACHERES-VILLE,0.25454500418714143,0.4356301402861972,14947.0
AIME CESAIRE,0.25531517983153273,0.44137485947065885,14884.0
BERAULT,0.2564439323677647,0.42754016581215887,14884.0
IVRY-SUR-SEINE,0.2592011055310189,0.4772781647802544,14057.0
AUBERVILLIERS-PANTIN (QUATRE CHEMINS),0.2627004481265876,0.48049229087326906,14778.0
MASSY EUROPE T12,0.2641656282320197,0.41487801737345814,12729.0
MALAKOFF-RUE ETIENNE DOLET,0.2646367068029437,0.43804359020969386,14884.0
SAINT-DENIS,0.26498899183062014,0.4946311279041279,15155.0
PORTE D'ITALIE,0.2650877547008638,0.43673285233544085,14884.0
